q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
89.7252,-76.42,76.2681,4.6499,81.6247,85.3982,-46.8272,-50.3248,138.471,-81.9049,-5.05635,3.30404
89.763,-76.742,76.86,33,89.7991,85.7958,-71.9374,-108.997,127.467,-90.5854,-4.46787,32.4484
89.7882,-78.9839,75.0477,-7.1559,58.9849,55.269,4.86901,-56.8509,169.614,-53.9303,-29.7297,-31.1682
89.8438,-97.1822,81.6877,0.43299,51.875,83.759,91.8816,-205.136,178.691,-52.0087,-5.35953,-19.471
89.9257,-98.5688,87.4958,34.989,82.3839,60.8538,15.2127,-258.545,139.634,-81.5844,-29.2992,19.1248
90.0512,-78.7651,88.9322,3.4566,48.589,76.9202,-119.391,-110.435,184.802,-48.0315,-10.0445,4.08152
90.0678,-74.8839,98.5642,-2.7842,64.2629,56.287,-222.726,-110.552,166.913,-59.6241,-30.3004,3.67158
90.128,-71.4301,77.2582,7.03632,49.924,82.106,-103.484,-51.3672,183.983,-49.8113,-6.29933,6.88067
90.1492,-73.1277,92.2382,-3.908,62.0313,52.508,-192.646,-77.2235,170.368,-55.8321,-32.7299,-5.60368
90.1492,-80.9859,78.6568,-0.49564,82.5781,75.4471,-14.65,-72.6115,141.23,-82.2579,-14.9358,-5.19546
90.1813,-97.6142,86.826,10.831,54.61,80.2611,39.5806,-221.576,178.239,-54.3379,-8.20125,-6.29383
90.187,-92.849,79.2212,33.566,49.15,56.727,46.3527,-231.711,184.346,-44.0206,-24.7566,-4.03126
90.2878,-88.4372,88.2361,27.735,80.8042,41.823,-55.8042,-185.079,144.746,-75.8651,-47.9163,16.3057
90.4167,-66.8762,92.614,-4.2433,83.2158,93.866,-257.495,-54.8623,144.679,-83.2851,3.36231,20.9545
90.996,-88.5002,72.6001,9.66528,94.063,88.1782,87.1796,-138.965,130.989,-93.3145,-2.28272,-6.81445
91.0012,-90.2328,97.9483,7.18678,98.0079,66.5743,-100.21,-176.488,125.832,-97.788,-24.0629,17.3056
91.0292,-94,75.533,-7.22849,74.563,59.3911,138.128,-165.563,158.696,-71.2914,-29.4898,-35.3061
91.2097,-78.211,90.199,25.186,71.9457,97.047,-148.739,-143.557,165.433,-71.4856,5.68233,38.6694
91.3312,-70.5168,84.2168,2.8302,95.229,40.955,-166.588,-44.1589,135.736,-96.249,-49.71,20.5633
91.3942,-98.5762,77.4627,33.926,55.08,73.424,93.9406,-273.658,184.616,-52.8373,-13.8436,2.10866
91.5558,-86.4101,71.9389,20.205,69.5599,69.3308,60.1513,-147.532,170.412,-66.9191,-19.6303,-2.83973
91.6022,-88.0602,73.8268,9.40413,99.6992,47.049,73.9133,-136.819,128.082,-100.852,-42.957,2.03496
91.6881,-93.7439,94.5461,14.638,90.1761,80.7361,-54.5253,-201.283,141.365,-88.7338,-10.2417,14.5773
91.7712,-99.9542,73.962,27.1,55.608,90.4821,134.187,-277.081,185.988,-54.3278,0.124129,0.747546
91.793,-85.6308,88.675,38.022,51.89,58.562,-71.5576,-211.369,193.362,-45.5391,-25.163,19.0085
91.8079,-89.5711,71.6128,43.193,74.2972,48.551,66.158,-213.954,163.971,-67.4727,-40.2843,9.9838
91.8383,-77.3029,86.4398,9.06832,76.1312,62.9812,-122.953,-93.7623,166.253,-72.553,-26.9742,9.52171
91.8468,-99.4362,80.5109,44.733,57.8498,68.7469,70.37,-299.128,183.38,-54.4262,-18.517,12.8595
91.8497,-83.1602,85.5202,28.075,76.0607,90.2941,-76.66,-157.38,164.252,-75.0029,-1.00588,29.6887
91.8497,-76.593,89.9188,18.146,49.535,50.069,-150.892,-137.728,199.022,-39.7238,-29.5826,1.13844
91.9351,-79.0418,71.6151,-4.9707,59.1269,77.6959,30.642,-63.9195,190.192,-56.8069,-10.3155,-19.6608
92.0107,-92.3831,78.635,-3.5835,49.39,71.0708,86.5267,-172.738,198.316,-46.0864,-13.6463,-30.8263
92.0187,-81.2242,92.7951,17.265,71.7171,61.5569,-139.646,-149.4,172.232,-67.313,-27.9893,17.2666
92.135,-94.318,89.2032,22.394,43.232,71.2949,-8.71723,-239.47,203.644,-39.762,-13.0249,2.25198
92.1809,-76.0939,75.0769,13.944,73.2091,46.912,-50.6446,-72.2288,173.931,-64.6467,-41.1429,-4.68925
92.2158,-96.501,71.567,40.952,45.774,40.264,120.018,-285.741,199.436,-31.2967,-32.6665,-25.1341
92.5888,-87.9421,86.771,49.349,70.2297,88.5392,-48.642,-234.636,174.823,-69.0483,-3.49621,46.9012
